adduser	3.153ubuntu1
patch	2.8-2build1
pci.ids	0.0~2026.02.12-1
perl	5.40.1-7build1
perl-base	5.40.1-7build1
perl-modules-5.40	5.40.1-7build1
pinentry-curses	1.3.2-3ubuntu1
pkg-config:amd64	2.5.1-4
pkgconf:amd64	2.5.1-4
pkgconf-bin	2.5.1-4
polkitd	127-2ubuntu1
procps	2:4.0.4-9ubuntu1
psmisc	23.7-2ubuntu2
publicsuffix	20260129.1928-1
python-apt-common	3.1.0ubuntu1
python-babel-localedata	2.17.0-2
python3	3.14.3-0ubuntu2
python3-apport	2.34.0-0ubuntu2
python3-apt	3.1.0ubuntu1
python3-attr	25.4.0-1build1
python3-autocommand	2.2.2-4
python3-automat	25.4.16-1build1
python3-babel	2.17.0-2
python3-bcrypt	5.0.0-3build1
python3-blinker	1.9.0-2build1
python3-capstone	5.0.7-2
python3-certifi	2026.1.4+ds-1
python3-cffi-backend:amd64	2.0.0-3build1
python3-chardet	5.2.0+dfsg-2build1
python3-click	8.2.0+0.really.8.1.8-1build1
python3-colorama	0.4.6-4build1
python3-colored-traceback	0.4.2-1
python3-commandnotfound	23.04.0build1
python3-configobj	5.0.9-1build1
python3-constantly	23.10.4-2build1
python3-cryptography	46.0.5-1ubuntu2
python3-dateutil	2.9.0-4build1
python3-dbus	1.4.0-1build2
python3-debconf	1.5.92
python3-dev	3.14.3-0ubuntu2
python3-distro	1.9.0-1build1
python3-distro-info	1.15
python3-distupgrade	1:26.04.18
python3-gdbm	3.14.3-0ubuntu2
python3-gi	3.56.2-1
python3-hamcrest	2.1.0-3
python3-httplib2	0.22.0-1build1
python3-hyperlink	21.0.0-6build1
python3-idna	3.11-1
python3-incremental	24.7.2-4
python3-inflect	7.5.0-1build1
python3-intervaltree	3.0.2-1.1build1
python3-jaraco.context	6.0.1-2
python3-jaraco.functools	4.1.0-1build1
python3-jaraco.text	4.0.0-1build1
python3-jinja2	3.1.6-1build1
python3-json-pointer	2.4-4
python3-jsonpatch	1.32-6
python3-jsonschema	4.19.2-6ubuntu2
python3-jsonschema-specifications	2023.12.1-4
python3-jwt	2.10.1-4ubuntu1
python3-launchpadlib	2.1.0-1build1
python3-lazr.restfulclient	0.14.6-3build1
python3-lazr.uri	1.0.6-7build1
python3-linkify-it	2.0.3-1ubuntu3
python3-mako	1.3.10-3ubuntu0.1
python3-markdown-it	3.0.0-3build1
python3-markupsafe	3.0.3-1build1
python3-mdurl	0.1.2-1build1
python3-minimal	3.14.3-0ubuntu2
python3-more-itertools	10.8.0-1build1
python3-nacl	1.5.0-8
python3-netifaces:amd64	0.11.0-2build7
python3-netplan	1.2-1ubuntu5
python3-newt:amd64	0.52.25-1ubuntu3
python3-oauthlib	3.3.1-1build1
python3-openssl	25.3.0-1ubuntu1
python3-packaging	26.0-1
python3-paramiko	4.0.0-1ubuntu2
python3-passlib	1.9.3-1ubuntu1
python3-pip	25.1.1+dfsg-1ubuntu2
python3-pip-whl	25.1.1+dfsg-1ubuntu2
python3-pkg-resources	78.1.1-0.1build1
python3-plumbum	1.9.0-1
python3-problem-report	2.34.0-0ubuntu2
python3-psutil	7.1.0-1ubuntu1
python3-pwntools	4.15.0-1
python3-pyasn1	0.6.3-1
python3-pyasn1-modules	0.4.1-2build1
python3-pycurl	7.45.7-3build1
python3-pyelftools	0.32-1build1
python3-pygments	2.19.2+dfsg-1
python3-pyparsing	3.3.2-2
python3-referencing	0.36.2-1ubuntu2
python3-requests	2.32.5+dfsg-1ubuntu1
python3-rich	13.9.4-1.2
python3-ropgadget	7.7+dfsg-1
python3-rpds-py	0.27.1-2ubuntu3
python3-rpyc	6.0.2-1
python3-serial	3.5-2build1
python3-service-identity	24.2.0-1build1
python3-setuptools	78.1.1-0.1build1
python3-setuptools-whl	78.1.1-0.1build1
python3-six	1.17.0-2build1
python3-socks	1.7.1+dfsg-1build1
python3-software-properties	0.120
python3-sortedcontainers	2.4.0-2build1
python3-systemd	235-1build9
python3-twisted	25.5.0-5ubuntu0.1
python3-typeguard	4.4.4-2
python3-typing-extensions	4.15.0-2
python3-uc-micro	1.0.3-1build1
python3-unicorn	2.1.4-3
python3-update-manager	1:26.04.5
python3-urllib3	2.6.3-1ubuntu1.1
python3-venv	3.14.3-0ubuntu2
python3-wadllib	2.0.0-3
python3-wheel	0.46.3-2
python3-yaml	6.0.3-1build1
python3-zipp	3.23.0-1build1
python3-zope.interface	8.2-1build1
python3-zstandard	0.25.0-1build1
python3.14	3.14.4-1
python3.14-dev	3.14.4-1
python3.14-gdbm	3.14.4-1
python3.14-minimal	3.14.4-1
python3.14-venv	3.14.4-1
qemu-block-extra	1:10.2.1+ds-1ubuntu3.2
qemu-efi-aarch64	2025.11-3ubuntu7
qemu-system-arm	1:10.2.1+ds-1ubuntu3.2
qemu-system-common	1:10.2.1+ds-1ubuntu3.2
qemu-system-data	1:10.2.1+ds-1ubuntu3.2
qemu-system-gui	1:10.2.1+ds-1ubuntu3.2
qemu-system-modules-opengl	1:10.2.1+ds-1ubuntu3.2
qemu-system-modules-spice	1:10.2.1+ds-1ubuntu3.2
qemu-utils	1:10.2.1+ds-1ubuntu3.2
readline-common	8.3-4
rpcsvc-proto	1.4.3-1build1
rsync	3.4.1+ds1-7ubuntu0.3
rsyslog	8.2512.0-1ubuntu4
run-one	1.17-0ubuntu3
rust-coreutils	0.8.0-0ubuntu3
screen	4.9.1-3ubuntu2
seabios	1.17.0-1ubuntu1
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
sgml-base	1.31+nmu1build1
shared-mime-info	2.4-5build3
show-motd	3.12build1
snapd	2.74.1+ubuntu26.04.4
software-properties-common	0.120
squashfs-tools	1:4.7.5-1
sudo	1.9.17p2-1ubuntu3
sudo-common	1.2ubuntu
sudo-rs	0.2.13-0ubuntu1
systemd	259.5-0ubuntu3
systemd-cryptsetup	259.5-0ubuntu3
systemd-hwe-hwdb	259.5.3ubuntu
systemd-resolved	259.5-0ubuntu3
systemd-sysv	259.5-0ubuntu3
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4
time	1.9-0.4
tmux	3.6a-2ubuntu0.1
tzdata	2026a-3ubuntu1
ubuntu-helper-virt-hwe	1:10.2.1+ds-1ubuntu4.3
ubuntu-insights	0.9.3ubuntu
ubuntu-keyring	2023.11.28.1build1
ubuntu-minimal	1.570
ubuntu-pro-client	37.2ubuntu
ubuntu-pro-client-l10n	37.2ubuntu
ubuntu-release-upgrader-core	1:26.04.18
ubuntu-virt	1:10.2.1+ds-1ubuntu3.2
ubuntu-wsl	1.570
ucf	3.0052ubuntu1
udev	259.5-0ubuntu3
unattended-upgrades	2.12ubuntu9
unzip	6.0-29ubuntu1
update-manager-core	1:26.04.5
update-motd	3.12build1
usb.ids	2025.12.13-1
user-session-migration	0.5.1
util-linux	2.41.3-3ubuntu2
vim	2:9.1.2141-1ubuntu4.5
vim-common	2:9.1.2141-1ubuntu4.5
vim-runtime	2:9.1.2141-1ubuntu4.5
vim-tiny	2:9.1.2141-1ubuntu4.5
virgl-server	1.2.0-2ubuntu2
wget	1.25.0-2ubuntu4.3
whiptail	0.52.25-1ubuntu3
wsl-pro-service	0.1.19ubuntu2
wsl-setup	0.6.2ubuntu
x11-common	1:7.7+26ubuntu1
xauth	1:1.1.2-1.1build1
xdg-user-dirs	0.19-1
xkb-data	2.46-2
xml-core	0.19build1
xxd	2:9.1.2141-1ubuntu4.5
xz-utils	5.8.3-1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
